anime_id,demographic
5114,Shounen
9253,
28977,Shounen
41467,Shounen
38524,Shounen
9969,Shounen
11061,Shounen
43608,Seinen
15417,Shounen
42938,Shoujo
34096,Shounen
918,Shounen
52991,Shounen
35180,Seinen
4181,
2904,
37491,Shounen
35247,
19,Seinen
51009,Shounen
47917,
36838,Shounen
40682,Seinen
49387,Seinen
37510,
40028,Shounen
53998,Shounen
32935,Shounen
47778,Shounen
17074,
48583,Shounen
52034,Seinen
263,Shounen
1,
54595,
37521,Seinen
50160,Seinen
24701,Seinen
33095,Josei
2921,Shounen
48569,
50172,
21,Shounen
1575,
245,Shounen
21939,Seinen
45576,
46102,
54898,Seinen
33352,
34599,
457,Seinen
5258,Shounen
41084,
23273,Shounen
11665,Shoujo
40591,Seinen
28891,Shounen
40748,Shounen
2001,
34591,Shoujo
22135,Seinen
35760,Shounen
1535,Shounen
19647,Shounen
37991,Shounen
50265,Shounen
33,Seinen
32983,Shoujo
10379,Shoujo
28735,Josei
7785,
44511,Shounen
11741,
40417,Shoujo
40776,Shounen
5300,Shoujo
877,Shoujo
16498,Shounen
170,Shounen
40834,
12365,Shounen
30484,
38474,
801,Seinen
35839,
35843,Shounen
37779,Shounen
205,
25777,Shounen
30276,Seinen
31933,Shounen
47194,Shounen
12431,Seinen
38000,Shounen
32182,
30654,Shounen
3297,Shounen
36649,Shoujo
6114,Seinen
50330,Seinen
37379,Josei
392,Shounen
10165,Shounen
31181,
40059,Seinen
53887,Shounen
36999,
42203,
20583,Shounen
26055,Shounen
37105,Seinen
2246,
49721,Shounen
38889,Shounen
467,Seinen
34612,Shounen
33255,Shounen
46095,
136,Shounen
37999,Seinen
5028,Shounen
37965,
35557,Seinen
39551,Shounen
49926,Shounen
31646,Seinen
22789,
14397,Josei
5941,Shounen
39535,
39808,Seinen
9756,
39547,
2251,
38883,Shounen
10030,Shounen
41025,Shounen
51179,
30,
10162,Josei
49918,Shounen
13601,
39587,
22535,Seinen
5040,Seinen
2559,
41487,Shounen
338,Shoujo
5081,
46654,
185,Seinen
28701,
39533,
17389,Seinen
7655,Shounen
6594,
5420,
51019,Shounen
4081,Shoujo
1210,
5341,
49596,Shounen
31988,
48316,
12531,Josei
24415,Shounen
9989,
2402,Shounen
31043,Seinen
30230,Shounen
41457,
57,Shounen
50602,Shounen
486,
45,Shounen
39247,
13125,
25835,
38691,Shounen
10087,
22507,Seinen
43325,Shounen
44940,Shounen
34798,
1698,Josei
19363,Shounen
3002,Seinen
38731,Shounen
54856,Shounen
23327,
32937,
1735,Shounen
329,Seinen
52578,Shounen
37520,Shounen
10271,Seinen
37450,
53111,
37989,Seinen
11843,
33051,
5690,Josei
31240,
44055,
1842,Shounen
2966,
38003,Seinen
48736,Seinen
38680,Shoujo
40052,
45577,
2150,Kids
6,Shounen
53393,Seinen
3091,Seinen
23847,
25681,Shoujo
16894,Shounen
18115,Shounen
627,Shounen
35838,
9863,Shounen
49052,Seinen
1142,Josei
42897,Shounen
6811,Shounen
49114,Shounen
54714,Seinen
440,
50709,
1453,Seinen
558,Shounen
3226,Shounen
40729,
32843,
37171,Seinen
54959,
32867,Seinen
18195,
23623,Seinen
7674,Shounen
34636,Shounen
10800,Josei
22297,
1889,
962,Shounen
1519,Seinen
235,Shounen
40852,Shounen
813,Shounen
7791,
38481,
40911,Shounen
232,Shoujo
48549,Shounen
18,Seinen
186,Seinen
853,Shoujo
50380,
30503,Shounen
28171,Shounen
34572,Shounen
53411,
28223,
37962,
46569,Shounen
3701,
11597,
4477,Josei
721,
50416,Seinen
37430,Shounen
51096,
39792,Seinen
239,
50528,Seinen
36296,Seinen
1604,Shounen
35857,Seinen
1827,
39592,Shounen
18689,Shounen
6746,
121,Shounen
2581,
30831,
8129,Josei
302,
52826,
33486,Shounen
40815,
20899,Shounen
14713,Shoujo
48895,
339,
28025,
34076,
23283,
24833,Shounen
16918,Shounen
15059,Seinen
49709,Shounen
135,Shounen
39198,Shounen
3927,
50796,Seinen
13759,
4722,Shoujo
32282,Shounen
4224,
54112,Seinen
42429,
12189,
22145,Shounen
19815,
1486,Shoujo
11771,Shounen
50631,Shounen
35062,Shounen
42941,
52741,Shounen
40907,Shounen
24277,Shounen
39783,Shounen
6547,
1471,Shounen
2025,
27833,
38668,Seinen
1974,Shoujo
8425,
38993,Shounen
237,
31251,
41402,Shounen
1559,Shounen
34822,
2164,
18679,
2034,Shoujo
25013,Shoujo
37870,
889,Seinen
36456,Shounen
72,
2004,Seinen
1482,Shounen
589,Shounen
153,
1914,Shoujo
42923,
535,
16049,
6211,
14813,
40174,
27663,Shounen
7054,Shoujo
14513,Shounen
44235,Kids
49782,Seinen
16706,Shounen
6045,Shoujo
35788,Shounen
1065,Shounen
66,
2167,
4789,
16,Josei
27989,
9996,Seinen
39468,
20,Shounen
50346,Shounen
861,Seinen
23199,
40716,Shounen
9656,Shoujo
40397,Shounen
846,Shounen
53199,
77,
16067,
46422,Shoujo
7720,Seinen
30015,
35790,
42249,Shounen
31173,Shoujo
42250,
27831,
387,
39570,Seinen
223,Shounen
967,Shounen
33206,
25879,Seinen
32615,
996,Shoujo
1530,
5678,
41169,
20507,Shounen
36949,Shounen
2076,Shounen
10721,
17549,Seinen
10049,Shounen
31174,
5682,
2618,
35968,
54790,
38084,
122,Shoujo
269,Shounen
21855,
38337,
11239,
38080,Shounen
15689,
52347,Shounen
18179,Shounen
658,Seinen
15,Shounen
73,
11739,Shounen
427,
6774,
12031,Seinen
17265,
37675,
29803,
27775,
48580,Shounen
51552,
28,Shounen
30279,
14075,Shounen
1470,Shounen
38408,Shounen
790,
35222,Shoujo
3907,Shounen
9289,
7062,
13331,Seinen
85,
48926,Shounen
27947,Seinen
1088,
28297,Shoujo
114,Shounen
12815,Josei
37786,
32995,
3228,Shounen
41389,Shounen
31098,Shounen
532,Shoujo
2924,
31339,Seinen
2829,
14719,Shounen
49828,
3572,
957,Shoujo
24,Shounen
10080,Shounen
1695,
36563,
2159,Seinen
20057,
2158,Shounen
31964,Shounen
7645,
36028,Seinen
934,
36593,
1594,
35075,Seinen
52976,Seinen
51680,
55742,Shounen
569,
54918,Shounen
22,Shounen
6377,Shounen
35507,
9513,Shounen
37435,
48702,Seinen
2828,Kids
249,Shounen
42745,
25517,Shounen
322,Josei
2605,Shounen
9941,
37029,Seinen
5680,
39534,Shounen
31741,Shounen
795,Shoujo
400,Seinen
11123,
3588,Shounen
52093,Shounen
17909,
53126,
6586,Shoujo
849,
32093,
52305,
890,
32998,
39195,Shounen
388,Shounen
23289,
267,
3604,
40046,
4087,
39575,
12445,Shounen
6582,Seinen
10521,Seinen
12403,
31478,Seinen
2035,Seinen
49220,
1485,Shoujo
46352,Seinen
2471,Kids
2471,Shounen
40956,Shounen
28669,
2762,Shoujo
253,Shounen
33489,
34745,Shounen
49784,Shounen
50739,
1172,
202,
21185,Shounen
1472,Shounen
12413,Seinen
42670,
34451,Shounen
97,
51297,Shounen
397,
43439,Seinen
45055,Shounen
22319,Seinen
40935,Shounen
1491,
283,
966,Seinen
41461,
29787,
49738,
20431,Seinen
3545,Shounen
48849,
80,
49776,
1425,Seinen
19111,
13203,Seinen
7588,Seinen
552,Kids
31433,
21877,Seinen
26,
95,
3750,Shoujo
35073,
210,Shounen
30727,
30123,Shoujo
31733,Shoujo
1571,Shoujo
29095,
28999,
1473,Shounen
2508,Seinen
5630,
32673,Seinen
39196,Shounen
353,
1254,Shounen
154,Shounen
93,
11887,
4080,Shoujo
1887,
52955,Shounen
709,
39940,Shounen
1818,Shounen
40906,Shounen
1281,
17895,
15809,
43691,Shoujo
1279,
5005,Seinen
1293,Shounen
407,Shounen
18153,
8795,
31592,Kids
7724,Shounen
534,
37924,
530,Shoujo
38145,
6033,Shounen
47164,
19319,
740,Shoujo
31637,
47160,
10357,
8311,Shounen
50273,Shounen
479,Shounen
1562,Shoujo
50203,
24893,Seinen
19703,
9074,Seinen
6024,Seinen
14741,
51916,
38671,Shounen
33899,
38619,
4814,
2582,
5074,Seinen
51536,
43523,
1000,Seinen
40620,
34284,
35860,Shounen
34914,
32370,Shounen
5835,Shoujo
5231,
8426,Seinen
48553,
39959,
120,Shoujo
28907,
36094,Seinen
50608,Shounen
1375,
516,Shounen
48916,
51678,Shounen
50613,Shounen
32491,
324,
35240,
20847,Shounen
90,
7193,
477,Shounen
8516,
22777,Shounen
53716,
40357,
53446,
34445,
2451,Shounen
182,
6213,
323,
2547,
2104,Shounen
5485,Shounen
35503,
33502,
37956,Shoujo
3841,Seinen
13535,Shounen
4192,Shounen
38101,Shounen
48804,
28249,Shounen
33337,Seinen
21405,Seinen
33354,Shoujo
233,Shoujo
8687,Kids
8687,Shounen
12883,
36653,
8525,Shounen
10460,Shounen
4898,Shounen
50695,Seinen
9510,Shounen
23755,Shounen
5530,Shounen
396,
31227,Shounen
2963,Seinen
14511,Seinen
31764,
22043,Shounen
31859,
6956,Seinen
31783,Shounen
39071,
12021,Seinen
36513,Seinen
9926,
19775,Seinen
32717,
21995,Shoujo
39681,
874,
74,Shoujo
34542,Seinen
42625,Seinen
14941,
1239,Shoujo
52229,
32979,
240,Seinen
488,
852,Shoujo
48491,
251,Shoujo
1412,Seinen
1915,
444,Shoujo
290,
18119,Seinen
32792,
28927,Shounen
32729,Shoujo
65,Seinen
582,Shounen
21843,
32977,
52193,
150,
951,Shoujo
60,Shounen
345,Seinen
22265,
24765,
25649,
54842,Shoujo
53526,
856,
30549,
6444,Shounen
10278,
2557,
18245,
43299,
331,Shounen
7592,Shounen
35067,
30240,Seinen
32836,
47257,
1690,Seinen
32948,
123,Shoujo
18055,Shoujo
54362,Shounen
160,
228,
3713,
37869,
71,
36704,
50425,Seinen
106,Shoujo
22101,Shoujo
1650,
24439,Shounen
1606,Shounen
35079,
5494,
1483,Seinen
42351,
145,Shoujo
2985,Shounen
1699,
49858,
41433,
1946,
110,Shounen
37972,
41488,Shounen
35672,
39597,
15731,
50307,Shounen
969,Shounen
24405,Shounen
35789,Shounen
9441,Shoujo
96,
51815,Seinen
34973,
34577,Shounen
33253,Seinen
42238,
2213,Shounen
35972,Shounen
31931,
4725,Shounen
132,Shounen
2800,Shoujo
2229,Shounen
6702,Shounen
37958,
51462,
1567,Shoujo
36470,
29854,Shounen
10495,
23321,
18897,Shounen
584,
40351,Kids
39355,
40392,Shounen
5507,
52211,Shounen
31953,
10161,
53874,Kids
17249,
7647,Seinen
48779,Seinen
23251,Shounen
9065,Josei
1356,Shounen
2037,Shoujo
2012,Shounen
27991,
38578,
34902,Shounen
36474,
1985,
21435,
1372,Seinen
2558,
28677,Shounen
40221,
40571,
5162,Seinen
3001,Seinen
3673,Seinen
2549,
34561,
32542,Seinen
8675,Shounen
2787,
34547,Shounen
1557,Shoujo
880,Seinen
18671,
129,Shounen
37141,Shounen
37007,Shounen
17,Shounen
67,Seinen
53881,
33988,Seinen
28121,
7661,Seinen
38790,
49891,
18139,Seinen
16241,Seinen
32681,
4651,
36754,Josei
250,Shounen
42590,Shounen
340,Shounen
36038,
51105,
24135,Shounen
11371,Shounen
50221,
6802,
33089,
1087,Shounen
22817,Shounen
7627,Shounen
2112,Shounen
708,
209,
3369,Shounen
32828,Seinen
2214,Shounen
455,
41120,
21327,Shounen
53621,Shounen
567,
8937,
10033,Shounen
177,Shounen
40590,
691,Seinen
1563,Shoujo
23135,
6347,
43756,
50248,
1251,
14131,
4039,Seinen
41694,Seinen
37497,
103,Shoujo
4981,
20031,Seinen
8086,
31376,Shounen
2026,Shounen
2405,Shoujo
2002,
914,
10216,Seinen
37976,
53879,Shounen
50590,Josei
5274,Shounen
1212,
10588,
34134,Seinen
6634,
6773,
2562,
46093,
52308,
218,Shounen
38804,
40879,
5249,Shounen
50663,
31821,Shounen
54743,Seinen
31706,
23269,
50197,
3470,Shoujo
52736,
1642,Shoujo
34984,Seinen
51958,
10790,
35241,Seinen
12487,
26243,Shounen
38659,
857,Shounen
9919,Shounen
1050,Shounen
3213,Shounen
21273,
551,Shounen
270,Seinen
379,Seinen
3092,
12291,
15061,
35015,
11111,
21743,Shoujo
226,Seinen
17729,
15451,
37614,Shounen
40540,
2608,Seinen
481,Shounen
29,Seinen
10568,
2227,Shoujo
22693,
13655,
40504,Shounen
23277,
37426,
142,Shoujo
727,Shoujo
35828,
36522,
38555,Shoujo
10378,Shounen
22199,Shounen
587,
39049,
14227,Shoujo
53833,
16005,Shounen
5712,Kids
2820,Kids
1459,
1651,
3317,
18497,Shounen
435,Shoujo
352,
351,
34262,Shounen
53876,Kids
5671,Seinen
3420,
15793,
51215,
22147,
1069,
48542,
40454,
287,Shounen
2987,
1852,
36220,
50854,
1391,
35821,Seinen
1663,
8217,
12679,Shounen
16524,
8726,Seinen
37475,Shounen
37984,
39491,
327,
355,
8407,Shounen
50287,Shounen
334,Shoujo
15315,
30296,
166,
879,
21573,
102,Shoujo
1614,Shounen
13349,Josei
33731,Shounen
49930,
40685,
2257,
28979,Shounen
3036,
44191,
3972,Shounen
200,Shounen
3613,
11319,
48643,Shounen
333,
593,
37890,Seinen
8476,Seinen
490,Shounen
37975,Seinen
30736,
6573,
30694,Shounen
50002,Shounen
18465,Seinen
13115,Josei
39730,Seinen
40842,
14467,
1327,Shounen
32696,
8215,
37349,
2409,
24703,
3731,Shoujo
9938,Seinen
40870,
49980,Shoujo
696,
3974,Seinen
13663,Shounen
16011,
1579,Josei
98,
10257,
16123,Seinen
30187,
18523,Shounen
9834,Shounen
15051,
76,
48483,
10620,Shounen
35078,Shounen
3199,
64,Seinen
2903,Shounen
2596,
8557,Shounen
5262,Shoujo
11433,
40904,
36934,Shounen
25183,Seinen
2749,
10793,
14289,Shoujo
5141,
3672,Shounen
33094,
50710,Shounen
1840,
16417,
156,Shoujo
5075,
20785,
14527,Shounen
54301,
23281,
1608,Seinen
2923,Shoujo
59,Seinen
51586,
5684,
364,Seinen
242,Josei
4060,Kids
42994,
22729,
31580,Seinen
11235,
586,
6093,Shoujo
505,
134,
25731,
15613,Shoujo
38472,
34012,
47159,
183,Shounen
181,
4416,
40908,Shounen
1590,
32526,
36565,Shounen
19291,Kids
165,
34494,
2942,
38959,
11933,
527,Kids
573,
167,
38787,Shounen
5233,
2548,
2225,
41587,Shounen
37597,
52505,Shounen
344,
54103,
11013,Shounen
17080,
25,Seinen
1728,Shoujo
2014,Seinen
2203,
50552,Shounen
25519,
113,
42587,
489,
53040,Shounen
31798,
1972,
40496,
20541,
1060,Seinen
2084,
1873,Shounen
42391,
6056,Shounen
130,Josei
131,Josei
2216,Seinen
52082,Shounen
35756,
40056,
33028,
501,Kids
501,Shounen
1684,
35889,
6895,Josei
2228,Kids
1292,
2813,Kids
2036,
2553,
39586,Shounen
39988,
2757,
798,
763,
15911,
2204,Shounen
38992,
50185,
168,
1878,
1454,
44204,Shounen
40513,Seinen
27787,Shounen
20709,Shoujo
23421,
47790,
12149,
24037,
33506,Shounen
18893,Seinen
40060,
23311,
506,Shoujo
32648,Shounen
714,Shounen
30344,
4654,
38005,
10798,
53698,
92,
8841,
2040,
2044,
2834,Shoujo
4062,Shounen
50461,
238,Shounen
34102,
3006,
40004,Shounen
53439,
2116,Shounen
54803,Shounen
5267,Kids
2330,
34787,
50685,
3549,
38753,Shounen
1589,Seinen
55310,
68,Shounen
18507,
15863,Seinen
48857,
38476,
11617,
33241,
33490,Kids
9893,
10232,
970,
3712,
52173,
3358,
3225,Seinen
54883,Seinen
30016,
616,Shoujo
350,
18041,Seinen
38759,
5355,
2039,
52973,Shounen
4114,
13599,
10884,
2758,
40902,Shounen
2555,
50,Seinen
2817,
29067,
1858,
48649,Seinen
21681,
35376,Seinen
1021,Shoujo
2337,Shounen
5832,
764,
198,
34086,
944,
3009,Shounen
48471,
1744,Shoujo
35249,
2544,
3272,Shounen
16353,
2818,
5953,
38483,
36652,Seinen
43470,
5984,
5909,
7662,
2986,Seinen
653,
31500,
49438,
49520,Shounen
280,Shoujo
1536,Shounen
53613,Seinen
42192,Shounen
52081,Shounen
476,
14811,
36884,
32105,Shounen
33654,
34863,
17505,Shounen
2489,
33983,
161,Shounen
16009,
483,
1426,Seinen
519,Shounen
158,Shoujo
5273,
272,
42826,
959,
8676,
14345,Seinen
1886,
36317,
33362,
6381,
13333,
27,
2129,
878,
4038,Shounen
855,
4884,
2577,
3859,Shoujo
37993,
1891,
1892,
3958,Shounen
845,
4186,
31884,
40497,
99,
51794,Shounen
5395,
35330,
2744,Seinen
710,Seinen
1231,
11499,Shounen
5277,Seinen
15751,Shounen
4061,Kids
152,
32175,Shoujo
101,
14967,
38186,Shounen
1674,Shounen
6149,Shoujo
26349,
18229,
356,
49692,
40938,
1316,
42361,
40272,
37403,Shounen
34618,
3460,Kids
1678,Shounen
5197,
6574,Seinen
5150,Shounen
35413,
75,
2927,
28623,
45486,
633,Shoujo
28013,
2253,Shounen
2929,
6712,Shounen
9181,Shounen
1655,
31414,Shoujo
1565,Kids
28497,
18295,
52,Shounen
3577,
41833,Shounen
3342,
3655,Shounen
13585,Josei
42282,Shoujo
52657,
11179,
12753,
4618,Seinen
44275,
5034,Shounen
30649,
4189,
2916,
411,
30901,
7,
42962,
738,Shounen
335,Shounen
50384,Seinen
42340,
2835,Shoujo
2361,
50664,
4028,
45425,
5958,Shounen
282,Seinen
6676,
11633,Seinen
40532,
1222,Shoujo
22433,Shounen
1450,
39026,
1250,Shounen
15109,Shounen
2400,Shounen
2484,
20689,
34281,
27829,
28869,Kids
1410,
31771,Shounen
4690,Shounen
5760,Shounen
37347,
21039,
41710,
6980,Kids
4550,
13261,
34933,Shounen
2816,
28621,
42668,
37023,Kids
4375,
4483,Shounen
5597,Shounen
14833,
12467,Seinen
51498,Shounen
326,Josei
15651,
16732,
29325,
40974,
10110,
6560,
29786,
306,
49979,Shoujo
37716,Shounen
485,
32189,
8915,
38656,Shounen
1313,Kids
8503,Kids
1534,
2030,
1524,
3568,Shounen
655,
3327,
386,Shounen
3335,Shoujo
940,
35639,
40833,
3010,
30911,
52962,
550,Shounen
1195,
5226,
341,Shounen
9241,
4382,
4663,Shounen
50652,
2806,
935,
30740,Seinen
606,
5834,Shounen
1374,Shounen
330,Shounen
38098,Shounen
6067,Shounen
1722,Shounen
9061,
1040,Shoujo
6030,Seinen
22273,
960,
11759,
37204,
5356,
37140,Shounen
34279,
15699,
246,Shounen
20853,
53262,
54041,
5675,
2825,
16592,
2748,Shounen
424,
915,Seinen
20509,
4551,Shoujo
38480,
7058,Shoujo
2087,
1932,
1808,Shoujo
3692,
10870,
2487,
51458,
13409,Seinen
48406,
5854,
33726,Josei
37086,Shounen
3437,Shounen
1110,Shoujo
3467,
2152,
1846,
31374,Shounen
2043,Shounen
10396,
2913,
35849,
1126,
12875,
27631,
24625,
41006,
40230,
41514,
953,Shoujo
11757,
11341,
6758,
2683,
482,Shounen
8934,
173,Shounen
3000,Seinen
3322,
712,
274,
37178,
4903,Seinen
49040,Seinen
2933,
107,Shounen
19369,
3765,Shoujo
34126,
4581,Shounen
5525,Josei
40128,Seinen
104,Shoujo
2383,
19163,
36633,
24031,Seinen
2222,Shounen
31163,Seinen
4726,
34662,
20457,Seinen
31670,Kids
7152,
39078,
40507,
37338,Seinen
3627,
652,
4119,
49519,Seinen
2113,
12711,Josei
35220,
94,
147,
31952,Seinen
1013,
604,
1397,
2736,
21105,
5091,
6116,
2200,
41619,Shounen
2283,
50932,
4068,Kids
1965,
1691,
2542,Shoujo
34290,
52934,
34712,Shoujo
3345,Shoujo
49376,Shounen
12979,Shounen
6023,
9981,
11697,Shounen
10163,
61,Shoujo
27525,
48760,
24231,
390,Shounen
180,
41762,Seinen
3044,Shounen
23587,
7955,
178,Shoujo
15379,
50338,Shounen
690,Shoujo
2038,
1164,
1196,
521,Shoujo
44273,Kids
3305,
4879,
2151,Kids
7769,
37578,
51986,Kids
1538,Shounen
48414,
41456,
1823,
100,Shoujo
1548,
10719,
369,
1312,
15583,
32494,Shounen
2803,
1845,
18411,Seinen
5041,
15225,
37490,
14645,Josei
28387,Seinen
51464,Shounen
30205,Shounen
2561,
2907,
6880,Shounen
1132,
48997,
2416,
49154,
42822,Shounen
48556,
3594,
1133,
19117,
3137,Shounen
37447,Shounen
6604,
40880,
31610,Shounen
518,
2518,
34978,
3136,
19221,
4067,Kids
1145,
1086,
41103,
2335,Shounen
32245,
6707,Shounen
276,Seinen
277,Seinen
8917,
5200,
8415,
2108,
529,Seinen
2254,
50184,
16201,Shounen
51614,
41520,
15611,
5670,
14765,
54234,Shounen
34915,
31178,Josei
54947,
3125,Shoujo
31370,Shounen
51692,
16668,
5079,Seinen
32949,Seinen
206,
1941,
6512,
2912,
51705,Seinen
32951,
22865,
5504,
311,Shoujo
2706,Kids
9346,
3230,
36144,
3231,
958,
394,Seinen
39184,
35834,
21437,
9379,
51020,
1371,
35847,
40530,
2486,Seinen
3754,
32924,Seinen
55153,Shoujo
2602,Shounen
2805,Kids
2926,
613,Shounen
1564,Kids
3806,
21561,
469,Shounen
3229,
8234,
24455,
2573,
195,
50917,
53,Seinen
50205,
40752,
332,Shounen
28825,Seinen
26441,Seinen
48775,
961,
4532,
39324,
990,
4050,
189,Shounen
21863,Seinen
32829,
2543,
31564,
49160,Shounen
53237,Shounen
39790,
34350,Seinen
36800,Shounen
6164,
1498,
3298,Josei
4549,
2333,
20787,
10444,
603,
2694,Seinen
478,
2747,Shounen
37579,
4752,Shoujo
49285,
1543,
16035,Josei
3670,
54852,
279,
51064,
1017,
